Category,Product Name,Eco Score
Electronics,MacBook Pro 8797,6
Electronics,MacBook Pro 9317,9
Electronics,Sony WH-1000XM4 1266,6
Electronics,MacBook Pro 7111,2
Electronics,Samsung Galaxy S21 7257,10
Electronics,iPad Air 4337,3
Electronics,iPad Air 4838,3
Electronics,iPhone 12 83,3
Electronics,Dell XPS 13 9965,8
Electronics,MacBook Pro 2263,1
Electronics,Samsung Galaxy S21 9271,9
Electronics,iPad Air 7737,5
Electronics,Samsung Galaxy S21 9054,1
Electronics,Dell XPS 13 5009,9
Electronics,Samsung Galaxy S21 4171,1
Electronics,Dell XPS 13 4705,2
Electronics,Samsung Galaxy S21 3526,3
Electronics,Sony WH-1000XM4 4169,8
Electronics,iPhone 12 8346,7
Electronics,Sony WH-1000XM4 6581,5
Electronics,Dell XPS 13 6705,6
Electronics,iPad Air 794,5
Electronics,Dell XPS 13 1322,2
Electronics,Samsung Galaxy S21 8754,3
Electronics,Samsung Galaxy S21 9123,2
Electronics,Sony WH-1000XM4 8951,8
Electronics,Samsung Galaxy S21 9951,7
Electronics,iPad Air 7867,6
Electronics,Dell XPS 13 6881,5
Electronics,iPhone 12 5200,6
Electronics,iPad Air 9988,4
Electronics,MacBook Pro 4270,1
Electronics,iPhone 12 8065,6
Electronics,Dell XPS 13 9864,7
Electronics,Dell XPS 13 4141,3
Electronics,MacBook Pro 3281,2
Electronics,iPhone 12 4439,7
Electronics,Dell XPS 13 2193,10
Electronics,iPad Air 2701,2
Electronics,MacBook Pro 2770,6
Electronics,iPhone 12 11,7
Electronics,iPhone 12 7591,3
Electronics,iPad Air 5472,2
Electronics,iPhone 12 7082,6
Electronics,Sony WH-1000XM4 762,5
Electronics,Sony WH-1000XM4 4862,8
Electronics,iPad Air 8792,7
Electronics,Samsung Galaxy S21 4156,5
Electronics,Sony WH-1000XM4 2531,8
Electronics,Sony WH-1000XM4 4636,3
Electronics,iPad Air 3709,6
Electronics,Dell XPS 13 2675,5
Electronics,Samsung Galaxy S21 4579,3
Electronics,iPhone 12 5265,4
Electronics,iPad Air 2698,2
Electronics,Dell XPS 13 1144,6
Electronics,MacBook Pro 2820,9
Electronics,iPad Air 1635,6
Electronics,Dell XPS 13 4532,9
Electronics,MacBook Pro 4130,1
Electronics,MacBook Pro 2319,1
Electronics,iPad Air 6525,3
Electronics,iPad Air 8728,6
Electronics,iPad Air 9875,1
Electronics,MacBook Pro 7072,6
Electronics,Sony WH-1000XM4 4653,3
Electronics,iPad Air 6101,8
Electronics,Sony WH-1000XM4 4999,8
Electronics,iPhone 12 1994,9
Electronics,MacBook Pro 6758,6
Electronics,Samsung Galaxy S21 179,10
Electronics,MacBook Pro 1933,6
Electronics,Samsung Galaxy S21 6559,10
Electronics,iPhone 12 1469,9
Electronics,Dell XPS 13 219,5
Electronics,iPad Air 1829,6
Electronics,Sony WH-1000XM4 1460,6
Electronics,iPad Air 9078,5
Electronics,iPad Air 7505,2
Electronics,Samsung Galaxy S21 7408,5
Electronics,Dell XPS 13 3467,2
Electronics,Sony WH-1000XM4 7980,3
Electronics,Samsung Galaxy S21 129,7
Electronics,Dell XPS 13 6250,8
Electronics,Dell XPS 13 6139,6
Electronics,Samsung Galaxy S21 303,2
Electronics,Samsung Galaxy S21 7501,4
Electronics,Dell XPS 13 5982,1
Electronics,Dell XPS 13 3835,1
Electronics,Sony WH-1000XM4 5600,8
Electronics,Sony WH-1000XM4 7951,9
Electronics,Sony WH-1000XM4 9028,7
Electronics,Sony WH-1000XM4 4620,1
Electronics,iPhone 12 7163,4
Electronics,Samsung Galaxy S21 6724,3
Electronics,Samsung Galaxy S21 9195,3
Electronics,Sony WH-1000XM4 151,2
Electronics,MacBook Pro 2371,8
Electronics,Samsung Galaxy S21 76,6
Electronics,iPhone 12 3970,2
Electronics,Sony WH-1000XM4 4490,6
Electronics,MacBook Pro 9592,2
Electronics,MacBook Pro 641,7
Electronics,Samsung Galaxy S21 1291,2
Electronics,Sony WH-1000XM4 4062,6
Electronics,iPhone 12 4411,4
Electronics,MacBook Pro 8463,6
Electronics,MacBook Pro 8812,9
Electronics,Samsung Galaxy S21 5641,3
Electronics,Samsung Galaxy S21 4502,10
Electronics,Dell XPS 13 6585,7
Electronics,MacBook Pro 4350,4
Electronics,Dell XPS 13 2387,3
Electronics,MacBook Pro 6139,1
Electronics,Dell XPS 13 1845,5
Electronics,Dell XPS 13 7868,9
Electronics,Dell XPS 13 4067,6
Electronics,MacBook Pro 9814,9
Electronics,MacBook Pro 1072,8
Electronics,Sony WH-1000XM4 1191,2
Electronics,iPhone 12 7723,8
Electronics,Dell XPS 13 986,4
Electronics,iPad Air 9293,3
Electronics,Sony WH-1000XM4 907,1
Electronics,iPad Air 7039,10
Electronics,Dell XPS 13 9079,4
Electronics,iPad Air 9726,9
Electronics,iPhone 12 2003,5
Electronics,MacBook Pro 383,4
Electronics,iPhone 12 2695,8
Electronics,iPad Air 285,6
Electronics,iPad Air 6841,2
Electronics,iPhone 12 2014,7
Electronics,iPhone 12 2690,6
Electronics,iPad Air 582,5
Electronics,iPhone 12 6240,2
Electronics,iPhone 12 9176,6
Electronics,Dell XPS 13 6950,2
Electronics,MacBook Pro 9039,7
Electronics,Sony WH-1000XM4 1311,3
Electronics,MacBook Pro 9577,7
Electronics,iPhone 12 1968,9
Electronics,Samsung Galaxy S21 6786,10
Electronics,iPad Air 8449,8
Electronics,MacBook Pro 6322,4
Electronics,iPhone 12 2653,3
Electronics,iPhone 12 851,6
Electronics,Sony WH-1000XM4 4119,4
Electronics,iPhone 12 3875,9
Electronics,MacBook Pro 2081,8
Electronics,Sony WH-1000XM4 8605,1
Electronics,iPad Air 1467,10
Electronics,Sony WH-1000XM4 5420,2
Electronics,Samsung Galaxy S21 590,1
Electronics,iPad Air 285,9
Electronics,Samsung Galaxy S21 1648,10
Electronics,iPhone 12 4619,2
Electronics,MacBook Pro 3035,9
Electronics,iPhone 12 3804,5
Electronics,Samsung Galaxy S21 5868,1
Electronics,Samsung Galaxy S21 3398,3
Electronics,Dell XPS 13 5865,4
Electronics,Samsung Galaxy S21 8050,10
Electronics,MacBook Pro 399,2
Electronics,Dell XPS 13 2101,3
Electronics,iPad Air 3071,8
Electronics,iPhone 12 3881,2
Electronics,Dell XPS 13 1832,1
Electronics,Sony WH-1000XM4 2300,3
Electronics,iPhone 12 9272,2
Electronics,Dell XPS 13 7645,5
Electronics,MacBook Pro 4937,7
Electronics,Sony WH-1000XM4 2452,3
Electronics,iPhone 12 3705,8
Electronics,Dell XPS 13 5771,1
Electronics,Dell XPS 13 8679,10
Electronics,MacBook Pro 5580,5
Electronics,Dell XPS 13 4588,2
Electronics,Dell XPS 13 856,9
Electronics,Sony WH-1000XM4 9275,2
Electronics,Dell XPS 13 2770,6
Electronics,MacBook Pro 6527,3
Electronics,Sony WH-1000XM4 9154,6
Electronics,Sony WH-1000XM4 9847,3
Electronics,iPad Air 7257,10
Electronics,Sony WH-1000XM4 5934,9
Electronics,iPad Air 5154,7
Electronics,iPhone 12 8718,9
Electronics,Samsung Galaxy S21 3102,4
Electronics,MacBook Pro 5722,6
Electronics,iPhone 12 5519,4
Electronics,Samsung Galaxy S21 2788,2
Electronics,iPad Air 2336,5
Electronics,iPhone 12 463,3
Electronics,Dell XPS 13 1490,8
Electronics,MacBook Pro 7704,2
Electronics,iPhone 12 2884,3
Electronics,Sony WH-1000XM4 3435,1
Electronics,iPad Air 93,5
Electronics,Samsung Galaxy S21 8242,7
Electronics,Dell XPS 13 2677,5
Electronics,MacBook Pro 590,10
Electronics,iPad Air 3162,4
Electronics,Sony WH-1000XM4 410,8
Electronics,MacBook Pro 2549,1
Electronics,Samsung Galaxy S21 7554,8
Electronics,Samsung Galaxy S21 3734,3
Electronics,MacBook Pro 2720,7
Electronics,iPhone 12 2322,4
Electronics,Sony WH-1000XM4 1558,1
Electronics,iPad Air 628,1
Electronics,Samsung Galaxy S21 9469,4
Electronics,iPad Air 4250,4
Electronics,Samsung Galaxy S21 2876,10
Electronics,Dell XPS 13 8015,8
Electronics,iPad Air 2196,1
Electronics,Sony WH-1000XM4 2505,3
Electronics,iPhone 12 1119,6
Electronics,iPhone 12 7562,8
Electronics,iPad Air 2283,5
Electronics,Samsung Galaxy S21 4792,1
Electronics,Sony WH-1000XM4 9787,1
Electronics,Sony WH-1000XM4 4755,1
Electronics,Dell XPS 13 9134,10
Electronics,Dell XPS 13 7280,2
Electronics,iPhone 12 5159,10
Electronics,Samsung Galaxy S21 5947,9
Electronics,MacBook Pro 8565,7
Electronics,Samsung Galaxy S21 9659,5
Electronics,Samsung Galaxy S21 1996,7
Electronics,Dell XPS 13 1626,2
Electronics,MacBook Pro 7006,7
Electronics,Dell XPS 13 7919,9
Electronics,MacBook Pro 1759,7
Electronics,Dell XPS 13 6376,10
Electronics,Samsung Galaxy S21 801,8
Electronics,iPhone 12 9621,8
Electronics,Samsung Galaxy S21 3849,5
Electronics,Sony WH-1000XM4 3456,8
Electronics,Sony WH-1000XM4 9469,7
Electronics,Sony WH-1000XM4 1252,1
Electronics,Sony WH-1000XM4 4789,2
Electronics,iPad Air 4910,6
Electronics,iPhone 12 6036,7
Electronics,Samsung Galaxy S21 7019,3
Electronics,Sony WH-1000XM4 4051,2
Electronics,MacBook Pro 7651,1
Electronics,MacBook Pro 4569,1
Electronics,Sony WH-1000XM4 2941,8
Electronics,iPhone 12 5059,5
Electronics,Sony WH-1000XM4 1760,1
Electronics,MacBook Pro 919,6
Electronics,iPad Air 6917,9
Electronics,Dell XPS 13 5430,4
Electronics,iPad Air 772,2
Electronics,iPad Air 3509,7
Electronics,MacBook Pro 6502,10
Electronics,iPad Air 6495,2
Electronics,MacBook Pro 9263,6
Electronics,iPhone 12 6247,5
Electronics,iPad Air 1559,8
Electronics,Sony WH-1000XM4 9287,6
Electronics,MacBook Pro 9047,1
Electronics,Samsung Galaxy S21 2859,9
Electronics,Sony WH-1000XM4 2856,10
Electronics,Sony WH-1000XM4 8932,3
Electronics,MacBook Pro 8373,5
Electronics,MacBook Pro 1031,8
Electronics,iPhone 12 2049,9
Electronics,iPad Air 1962,8
Electronics,Sony WH-1000XM4 2956,2
Electronics,Samsung Galaxy S21 7822,2
Electronics,Samsung Galaxy S21 7973,5
Electronics,Dell XPS 13 689,8
Electronics,Sony WH-1000XM4 7977,8
Electronics,Sony WH-1000XM4 2794,10
Electronics,MacBook Pro 6499,10
Electronics,Sony WH-1000XM4 6054,9
Electronics,Sony WH-1000XM4 1514,6
Electronics,Samsung Galaxy S21 3330,6
Electronics,MacBook Pro 6304,6
Electronics,Sony WH-1000XM4 2489,7
Electronics,Dell XPS 13 9627,10
Electronics,Dell XPS 13 2569,7
Electronics,iPad Air 9982,8
Electronics,MacBook Pro 3364,6
Electronics,iPhone 12 5292,5
Electronics,iPad Air 4971,8
Electronics,Samsung Galaxy S21 4329,5
Electronics,Dell XPS 13 1200,1
Electronics,iPad Air 1416,7
Electronics,Samsung Galaxy S21 5712,1
Electronics,Samsung Galaxy S21 5090,2
Electronics,Samsung Galaxy S21 7905,2
Electronics,Sony WH-1000XM4 1576,1
Electronics,iPhone 12 6093,4
Electronics,iPad Air 6451,1
Electronics,Sony WH-1000XM4 8946,1
Electronics,Dell XPS 13 9992,8
Electronics,Samsung Galaxy S21 2396,1
Electronics,Dell XPS 13 7818,9
Electronics,Sony WH-1000XM4 8758,6
Electronics,iPhone 12 4319,3
Electronics,Dell XPS 13 6653,1
Electronics,Samsung Galaxy S21 9731,9
Electronics,MacBook Pro 7255,4
Electronics,iPad Air 9359,8
Electronics,iPad Air 6136,1
Electronics,Samsung Galaxy S21 9246,6
Electronics,iPad Air 470,8
Electronics,Dell XPS 13 6458,4
Electronics,Sony WH-1000XM4 6498,8
Electronics,Dell XPS 13 5433,3
Electronics,iPhone 12 8468,9
Electronics,Sony WH-1000XM4 6783,9
Electronics,Sony WH-1000XM4 9308,7
Electronics,Dell XPS 13 7864,4
Electronics,iPad Air 3393,4
Electronics,Dell XPS 13 2046,6
Electronics,Sony WH-1000XM4 1303,3
Electronics,Sony WH-1000XM4 7620,7
Electronics,MacBook Pro 10,2
Electronics,MacBook Pro 912,3
Electronics,iPad Air 7383,10
Electronics,Dell XPS 13 9557,10
Electronics,MacBook Pro 2729,8
Electronics,Dell XPS 13 2781,4
Electronics,Sony WH-1000XM4 664,3
Electronics,iPhone 12 7742,9
Electronics,iPhone 12 4490,3
Electronics,Dell XPS 13 3345,1
Electronics,MacBook Pro 2975,2
Electronics,iPhone 12 7071,5
Electronics,iPad Air 3140,9
Electronics,MacBook Pro 3881,9
Electronics,Dell XPS 13 5680,10
Electronics,Samsung Galaxy S21 4646,1
Electronics,iPad Air 1954,9
Electronics,iPhone 12 7703,8
Electronics,MacBook Pro 4247,8
Electronics,iPad Air 563,8
Electronics,Dell XPS 13 5511,9
Electronics,MacBook Pro 1745,5
Electronics,Samsung Galaxy S21 7532,8
Electronics,Samsung Galaxy S21 3511,1
Electronics,MacBook Pro 5647,3
Electronics,MacBook Pro 3976,1
Electronics,iPad Air 3057,4
Electronics,iPhone 12 6042,7
Electronics,MacBook Pro 9399,6
Electronics,Samsung Galaxy S21 2822,5
Electronics,iPhone 12 3789,6
Electronics,Sony WH-1000XM4 242,10
Electronics,iPhone 12 8241,6
Electronics,Samsung Galaxy S21 1926,6
Electronics,Samsung Galaxy S21 1243,5
Electronics,MacBook Pro 8362,8
Electronics,Samsung Galaxy S21 808,6
Electronics,MacBook Pro 8497,1
Electronics,Samsung Galaxy S21 4907,8
Electronics,MacBook Pro 3183,5
Electronics,iPad Air 3849,10
Electronics,iPhone 12 354,4
Electronics,Dell XPS 13 356,3
Electronics,Dell XPS 13 9353,5
Electronics,Dell XPS 13 6678,3
Electronics,Dell XPS 13 2176,6
Electronics,iPhone 12 1454,10
Electronics,Dell XPS 13 9144,9
Electronics,iPad Air 9362,7
Electronics,iPad Air 7198,1
Electronics,iPhone 12 9787,6
Electronics,MacBook Pro 7365,10
Electronics,Sony WH-1000XM4 2311,8
Electronics,MacBook Pro 4268,9
Electronics,Sony WH-1000XM4 7544,3
Electronics,iPhone 12 1712,4
Electronics,Dell XPS 13 2476,2
Electronics,MacBook Pro 3040,4
Electronics,MacBook Pro 9410,5
Electronics,iPad Air 5911,7
Electronics,Sony WH-1000XM4 2274,4
Electronics,MacBook Pro 9565,6
Electronics,Sony WH-1000XM4 8238,3
Electronics,Sony WH-1000XM4 3176,8
Electronics,Sony WH-1000XM4 81,2
Electronics,Dell XPS 13 8188,2
Electronics,Samsung Galaxy S21 5413,1
Electronics,Samsung Galaxy S21 8466,2
Electronics,Sony WH-1000XM4 1157,4
Electronics,Dell XPS 13 7520,6
Electronics,Dell XPS 13 3952,9
Electronics,Dell XPS 13 1326,7
Electronics,Dell XPS 13 7724,2
Electronics,iPhone 12 4262,1
Electronics,Dell XPS 13 3309,1
Electronics,MacBook Pro 1390,4
Electronics,Sony WH-1000XM4 2203,9
Electronics,iPad Air 1695,8
Electronics,iPhone 12 5497,4
Electronics,Dell XPS 13 7966,5
Electronics,Samsung Galaxy S21 2173,8
Electronics,Dell XPS 13 6452,10
Electronics,Samsung Galaxy S21 8899,7
Electronics,iPad Air 4845,3
Electronics,Dell XPS 13 8476,4
Electronics,iPad Air 4019,3
Electronics,Dell XPS 13 3035,7
Electronics,MacBook Pro 9796,9
Electronics,Sony WH-1000XM4 51,3
Electronics,Samsung Galaxy S21 5472,3
Electronics,Samsung Galaxy S21 8317,5
Electronics,Samsung Galaxy S21 5167,3
Electronics,Sony WH-1000XM4 8250,6
Electronics,Sony WH-1000XM4 4253,9
Electronics,Samsung Galaxy S21 4258,10
Electronics,Dell XPS 13 3481,9
Electronics,iPad Air 8328,7
Electronics,Sony WH-1000XM4 3580,2
Electronics,iPad Air 5947,6
Electronics,MacBook Pro 5716,7
Electronics,Sony WH-1000XM4 7411,3
Electronics,Dell XPS 13 5416,2
Electronics,iPhone 12 4825,7
Electronics,Sony WH-1000XM4 717,3
Electronics,Sony WH-1000XM4 3031,2
Electronics,Samsung Galaxy S21 33,1
Electronics,iPhone 12 6698,1
Electronics,Sony WH-1000XM4 8547,6
Electronics,iPad Air 9521,8
Electronics,Dell XPS 13 4492,7
Electronics,Samsung Galaxy S21 3441,6
Electronics,MacBook Pro 3040,7
Electronics,MacBook Pro 9245,8
Electronics,Dell XPS 13 9302,6
Electronics,Samsung Galaxy S21 8329,2
Electronics,Sony WH-1000XM4 5221,8
Electronics,iPad Air 9127,9
Electronics,Samsung Galaxy S21 2385,3
Electronics,iPhone 12 4984,7
Electronics,Samsung Galaxy S21 1819,5
Electronics,Samsung Galaxy S21 8064,1
Electronics,Samsung Galaxy S21 8964,8
Electronics,iPad Air 3116,1
Electronics,Samsung Galaxy S21 3922,7
Electronics,MacBook Pro 3200,8
Electronics,Samsung Galaxy S21 8937,6
Electronics,Dell XPS 13 4173,4
Electronics,MacBook Pro 3389,6
Electronics,iPhone 12 6544,8
Electronics,Sony WH-1000XM4 3907,9
Electronics,Dell XPS 13 7812,3
Electronics,Dell XPS 13 414,3
Electronics,Dell XPS 13 899,5
Electronics,iPhone 12 9448,8
Electronics,iPhone 12 8301,1
Electronics,iPad Air 3988,8
Electronics,iPhone 12 1570,6
Electronics,MacBook Pro 6287,6
Electronics,Sony WH-1000XM4 6426,5
Electronics,MacBook Pro 4082,4
Electronics,iPhone 12 3845,2
Electronics,Samsung Galaxy S21 8395,6
Electronics,MacBook Pro 2784,5
Electronics,Samsung Galaxy S21 2073,1
Electronics,iPhone 12 4517,3
Electronics,Sony WH-1000XM4 4383,2
Electronics,MacBook Pro 1771,9
Electronics,Samsung Galaxy S21 5482,7
Electronics,Dell XPS 13 3904,1
Electronics,MacBook Pro 9793,3
Electronics,iPhone 12 3275,6
Electronics,Sony WH-1000XM4 8051,1
Electronics,Sony WH-1000XM4 4202,5
Electronics,Sony WH-1000XM4 7850,9
Electronics,Sony WH-1000XM4 3627,3
Electronics,MacBook Pro 2388,10
Electronics,iPad Air 2101,4
Electronics,iPhone 12 8164,8
Electronics,iPhone 12 1502,6
Electronics,Sony WH-1000XM4 8399,4
Electronics,MacBook Pro 7843,5
Electronics,iPhone 12 6462,4
Electronics,MacBook Pro 8847,6
Electronics,iPhone 12 2764,7
Electronics,iPhone 12 3738,5
Electronics,Dell XPS 13 6377,8
Electronics,Samsung Galaxy S21 7521,5
Electronics,Sony WH-1000XM4 9172,4
Electronics,iPhone 12 1078,1
Electronics,iPhone 12 4392,1
Electronics,iPhone 12 2172,1
Electronics,MacBook Pro 1298,4
Electronics,Samsung Galaxy S21 1056,3
Electronics,Sony WH-1000XM4 9838,4
Electronics,MacBook Pro 5075,2
Electronics,iPad Air 3983,8
Electronics,MacBook Pro 5074,3
Electronics,MacBook Pro 3936,10
Electronics,Sony WH-1000XM4 7422,9
Electronics,MacBook Pro 1616,7
Electronics,Dell XPS 13 6607,5
Electronics,Samsung Galaxy S21 4818,1
Electronics,Dell XPS 13 3867,1
Electronics,iPad Air 5630,9
Electronics,Samsung Galaxy S21 251,9
Electronics,iPad Air 8801,8
Electronics,Samsung Galaxy S21 1848,2
Electronics,iPad Air 9268,9
Electronics,iPad Air 1662,1
Electronics,MacBook Pro 5220,3
Electronics,iPhone 12 6764,6
Electronics,iPad Air 9826,7
Electronics,MacBook Pro 6313,2
Electronics,Dell XPS 13 539,3
Electronics,Samsung Galaxy S21 5672,3
Electronics,iPhone 12 4195,9
Electronics,Sony WH-1000XM4 3580,10
Electronics,iPhone 12 1439,9
Electronics,MacBook Pro 9370,9
Electronics,iPad Air 857,5
Electronics,MacBook Pro 3823,7
Electronics,Dell XPS 13 1137,3
Electronics,Samsung Galaxy S21 2387,9
Electronics,Sony WH-1000XM4 164,6
Electronics,Dell XPS 13 5822,8
Electronics,Dell XPS 13 832,5
Electronics,iPad Air 3385,8
Electronics,Samsung Galaxy S21 6371,8
Electronics,Dell XPS 13 5685,4
Electronics,iPad Air 9065,7
Electronics,iPad Air 6579,5
Electronics,Dell XPS 13 8894,5
Electronics,Samsung Galaxy S21 8725,5
Electronics,MacBook Pro 9861,3
Electronics,Samsung Galaxy S21 3424,7
Electronics,iPad Air 6966,3
Electronics,MacBook Pro 8828,6
Electronics,iPad Air 1741,10
Electronics,Samsung Galaxy S21 4785,4
Electronics,iPad Air 6268,3
Electronics,iPad Air 194,1
Electronics,iPhone 12 9229,10
Electronics,Dell XPS 13 7155,9
Electronics,iPad Air 3654,2
Electronics,Sony WH-1000XM4 6315,10
Electronics,iPhone 12 3753,3
Electronics,Sony WH-1000XM4 9099,9
Electronics,Sony WH-1000XM4 5619,3
Electronics,MacBook Pro 194,9
Electronics,iPhone 12 3517,9
Electronics,iPhone 12 5727,9
Electronics,Samsung Galaxy S21 2972,2
Electronics,Samsung Galaxy S21 1991,2
Electronics,Dell XPS 13 7426,5
Electronics,MacBook Pro 5769,6
Electronics,Dell XPS 13 6049,4
Electronics,iPhone 12 7701,2
Electronics,Samsung Galaxy S21 8119,1
Electronics,MacBook Pro 8405,5
Electronics,Sony WH-1000XM4 9092,7
Electronics,iPad Air 9214,9
Electronics,Samsung Galaxy S21 8729,1
Electronics,iPhone 12 6155,4
Electronics,iPhone 12 5166,5
Electronics,iPhone 12 385,1
Electronics,MacBook Pro 8137,7
Electronics,Samsung Galaxy S21 4758,9
Electronics,iPad Air 7924,3
Electronics,MacBook Pro 3938,10
Electronics,iPad Air 9877,2
Electronics,MacBook Pro 8162,4
Electronics,iPhone 12 9291,6
Electronics,Samsung Galaxy S21 2591,10
Electronics,Dell XPS 13 2241,9
Electronics,Samsung Galaxy S21 4807,3
Electronics,iPhone 12 8487,3
Electronics,MacBook Pro 1216,3
Electronics,Dell XPS 13 4103,1
Electronics,Sony WH-1000XM4 6235,10
Electronics,Sony WH-1000XM4 2337,6
Electronics,Sony WH-1000XM4 367,1
Electronics,iPhone 12 7107,1
Electronics,Samsung Galaxy S21 1510,6
Electronics,iPhone 12 2512,7
Electronics,Samsung Galaxy S21 8856,10
Electronics,Samsung Galaxy S21 4166,4
Electronics,Samsung Galaxy S21 8780,3
Electronics,iPhone 12 5044,1
Electronics,iPhone 12 6064,5
Electronics,Samsung Galaxy S21 7964,6
Electronics,Sony WH-1000XM4 4082,3
Electronics,iPad Air 7442,8
Electronics,Dell XPS 13 5892,7
Electronics,Samsung Galaxy S21 9502,3
Electronics,Sony WH-1000XM4 3468,9
Electronics,Sony WH-1000XM4 8795,5
Electronics,Samsung Galaxy S21 8806,5
Electronics,Samsung Galaxy S21 7304,3
Electronics,Sony WH-1000XM4 536,3
Electronics,iPhone 12 8745,4
Electronics,Dell XPS 13 7300,7
Electronics,iPad Air 2762,2
Electronics,iPhone 12 170,8
Electronics,iPhone 12 1014,6
Electronics,iPad Air 2070,1
Electronics,MacBook Pro 5925,8
Electronics,iPad Air 8586,2
Electronics,iPad Air 6459,1
Electronics,Dell XPS 13 1276,4
Electronics,Sony WH-1000XM4 5103,10
Electronics,iPhone 12 4654,1
Electronics,MacBook Pro 1525,5
Electronics,iPhone 12 9828,7
Electronics,iPhone 12 1013,9
Electronics,MacBook Pro 8565,9
Electronics,iPhone 12 7660,8
Electronics,MacBook Pro 9293,1
Electronics,iPad Air 5273,8
Electronics,iPad Air 6330,3
Electronics,Sony WH-1000XM4 5776,8
Electronics,iPad Air 1241,10
Electronics,Sony WH-1000XM4 8753,9
Electronics,Sony WH-1000XM4 7395,10
Electronics,Sony WH-1000XM4 6045,1
Electronics,Sony WH-1000XM4 7794,9
Electronics,Samsung Galaxy S21 9585,1
Electronics,iPhone 12 7396,8
Electronics,iPad Air 9023,3
Electronics,Samsung Galaxy S21 4308,5
Electronics,iPad Air 1657,2
Electronics,Sony WH-1000XM4 6850,4
Electronics,Samsung Galaxy S21 8666,3
Electronics,Samsung Galaxy S21 9622,1
Electronics,Samsung Galaxy S21 1285,3
Electronics,Sony WH-1000XM4 6415,8
Electronics,Dell XPS 13 5287,8
Electronics,iPhone 12 1739,1
Electronics,iPhone 12 7859,6
Electronics,Dell XPS 13 8638,6
Electronics,Sony WH-1000XM4 3439,5
Electronics,MacBook Pro 5969,6
Electronics,Dell XPS 13 6636,9
Electronics,iPhone 12 7204,7
Electronics,iPad Air 1087,7
Electronics,iPhone 12 9891,7
Electronics,iPhone 12 3488,4
Electronics,Samsung Galaxy S21 6220,3
Electronics,iPhone 12 4199,1
Electronics,Sony WH-1000XM4 5408,2
Electronics,iPad Air 8822,6
Electronics,Dell XPS 13 3374,5
Electronics,Dell XPS 13 5153,4
Electronics,iPhone 12 1088,5
Electronics,Sony WH-1000XM4 3489,5
Electronics,iPhone 12 4124,1
Electronics,iPhone 12 3830,8
Electronics,Sony WH-1000XM4 6310,6
Electronics,iPad Air 8054,6
Electronics,Dell XPS 13 5423,3
Electronics,Sony WH-1000XM4 8473,10
Electronics,iPad Air 8411,6
Electronics,iPhone 12 335,8
Electronics,MacBook Pro 3941,5
Electronics,Sony WH-1000XM4 138,1
Electronics,MacBook Pro 3050,6
Electronics,Sony WH-1000XM4 7629,10
