category,product_name,material_score,carbon_footprint,packaging,tip
Groceries,Reusable Bag,9,6,2,Avoid plastic bags by carrying a reusable one.
Gardening,Compost Bin,6,1,4,Convert kitchen waste into compost.
Furniture,Bamboo Chair,5,2,2,Sustainable alternative to plastic furniture.
Sports,Recycled Yoga Mat,6,8,2,Made from sustainable materials.
Household,Bamboo Toothbrush,7,2,5,Switch to biodegradable toothbrushes.
Toys,Wooden Blocks,7,1,3,Eco-friendly alternative to plastic toys.
Beauty,Lipstick,9,1,4,Opt for refillable lipstick cases to reduce waste.
Electronics,Laptop,10,1,2,Use energy-saving mode to reduce power consumption.
Clothing,Cotton Shirt,6,2,5,Wash with cold water to save energy.
Groceries,Reusable Bag,5,8,5,Avoid plastic bags by carrying a reusable one.
Furniture,Bamboo Chair,6,9,3,Sustainable alternative to plastic furniture.
Clothing,Handkerchief,7,6,5,Reuse and wash instead of using tissues.
Beauty,Lipstick,10,5,2,Opt for refillable lipstick cases to reduce waste.
Beauty,Lipstick,8,1,4,Opt for refillable lipstick cases to reduce waste.
Stationery,Notebook,8,6,1,Use recycled paper notebooks.
Groceries,Reusable Bag,9,10,2,Avoid plastic bags by carrying a reusable one.
Beauty,Lipstick,5,1,5,Opt for refillable lipstick cases to reduce waste.
Sports,Recycled Yoga Mat,7,6,1,Made from sustainable materials.
Automotive,Eco Car Wash Shampoo,9,3,2,Biodegradable car wash soap.
Sports,Recycled Yoga Mat,5,8,5,Made from sustainable materials.
Toys,Wooden Blocks,10,8,2,Eco-friendly alternative to plastic toys.
Healthcare,Reusable Cotton Pads,10,5,5,Replace disposable wipes with reusable ones.
Automotive,Eco Car Wash Shampoo,6,8,1,Biodegradable car wash soap.
Sports,Recycled Yoga Mat,7,1,4,Made from sustainable materials.
Automotive,Eco Car Wash Shampoo,9,4,1,Biodegradable car wash soap.
Groceries,Reusable Bag,9,9,2,Avoid plastic bags by carrying a reusable one.
Toys,Wooden Blocks,10,7,3,Eco-friendly alternative to plastic toys.
Clothing,Cotton Shirt,6,7,3,Wash with cold water to save energy.
Automotive,Eco Car Wash Shampoo,9,8,4,Biodegradable car wash soap.
Kitchen,Wooden Spoon,10,6,3,Use biodegradable wooden spoons instead of plastic.
Furniture,Bamboo Chair,10,6,1,Sustainable alternative to plastic furniture.
Groceries,Reusable Bag,5,6,1,Avoid plastic bags by carrying a reusable one.
Electronics,Laptop,8,9,5,Use energy-saving mode to reduce power consumption.
Beauty,Lipstick,8,3,2,Opt for refillable lipstick cases to reduce waste.
Gardening,Compost Bin,5,9,3,Convert kitchen waste into compost.
Healthcare,Reusable Cotton Pads,10,5,5,Replace disposable wipes with reusable ones.
Clothing,Cotton Shirt,8,9,3,Wash with cold water to save energy.
Electronics,LED Bulb,6,1,3,Switch to LED bulbs for lower energy usage.
Healthcare,Reusable Cotton Pads,8,7,2,Replace disposable wipes with reusable ones.
Stationery,Notebook,10,4,3,Use recycled paper notebooks.
Sports,Recycled Yoga Mat,6,2,5,Made from sustainable materials.
Clothing,Cotton Shirt,9,8,1,Wash with cold water to save energy.
Electronics,Laptop,6,2,5,Use energy-saving mode to reduce power consumption.
Electronics,Laptop,5,6,5,Use energy-saving mode to reduce power consumption.
Electronics,Laptop,10,10,4,Use energy-saving mode to reduce power consumption.
Gardening,Compost Bin,5,2,2,Convert kitchen waste into compost.
Automotive,Eco Car Wash Shampoo,8,10,1,Biodegradable car wash soap.
Sports,Recycled Yoga Mat,6,7,4,Made from sustainable materials.
Automotive,Eco Car Wash Shampoo,7,9,1,Biodegradable car wash soap.
Gardening,Compost Bin,9,2,5,Convert kitchen waste into compost.
Household,Bamboo Toothbrush,7,4,2,Switch to biodegradable toothbrushes.
Gardening,Compost Bin,7,2,4,Convert kitchen waste into compost.
Kitchen,Wooden Spoon,5,3,5,Use biodegradable wooden spoons instead of plastic.
Household,Bamboo Toothbrush,6,9,1,Switch to biodegradable toothbrushes.
Gardening,Compost Bin,7,10,2,Convert kitchen waste into compost.
Stationery,Pen,6,4,3,Refillable pens reduce plastic waste.
Toys,Wooden Blocks,7,9,5,Eco-friendly alternative to plastic toys.
Stationery,Notebook,7,7,1,Use recycled paper notebooks.
Kitchen,Steel Water Bottle,9,9,1,Refill instead of buying plastic bottles.
Toys,Wooden Blocks,6,3,3,Eco-friendly alternative to plastic toys.
Stationery,Pen,5,8,1,Refillable pens reduce plastic waste.
Kitchen,Wooden Spoon,8,10,2,Use biodegradable wooden spoons instead of plastic.
Healthcare,Reusable Cotton Pads,9,6,3,Replace disposable wipes with reusable ones.
Toys,Wooden Blocks,5,4,4,Eco-friendly alternative to plastic toys.
Healthcare,Reusable Cotton Pads,6,9,5,Replace disposable wipes with reusable ones.
Toys,Wooden Blocks,7,10,3,Eco-friendly alternative to plastic toys.
Toys,Wooden Blocks,9,9,3,Eco-friendly alternative to plastic toys.
Sports,Recycled Yoga Mat,7,2,4,Made from sustainable materials.
Kitchen,Steel Water Bottle,10,3,4,Refill instead of buying plastic bottles.
Beauty,Lipstick,5,7,1,Opt for refillable lipstick cases to reduce waste.
Beauty,Lipstick,6,2,5,Opt for refillable lipstick cases to reduce waste.
Automotive,Eco Car Wash Shampoo,5,4,3,Biodegradable car wash soap.
Kitchen,Steel Water Bottle,9,3,1,Refill instead of buying plastic bottles.
Gardening,Compost Bin,5,4,2,Convert kitchen waste into compost.
Stationery,Pen,10,4,5,Refillable pens reduce plastic waste.
Gardening,Compost Bin,8,7,2,Convert kitchen waste into compost.
Clothing,Handkerchief,9,3,1,Reuse and wash instead of using tissues.
Beauty,Lipstick,7,2,3,Opt for refillable lipstick cases to reduce waste.
Household,Bamboo Toothbrush,6,10,1,Switch to biodegradable toothbrushes.
Household,Bamboo Toothbrush,5,2,1,Switch to biodegradable toothbrushes.
Electronics,LED Bulb,10,1,3,Switch to LED bulbs for lower energy usage.
Groceries,Reusable Bag,10,6,4,Avoid plastic bags by carrying a reusable one.
Gardening,Compost Bin,10,3,5,Convert kitchen waste into compost.
Sports,Recycled Yoga Mat,9,2,3,Made from sustainable materials.
Electronics,Laptop,7,8,2,Use energy-saving mode to reduce power consumption.
Groceries,Reusable Bag,7,9,2,Avoid plastic bags by carrying a reusable one.
Stationery,Pen,7,2,4,Refillable pens reduce plastic waste.
Healthcare,Reusable Cotton Pads,10,10,1,Replace disposable wipes with reusable ones.
Furniture,Bamboo Chair,10,4,1,Sustainable alternative to plastic furniture.
Groceries,Reusable Bag,8,10,2,Avoid plastic bags by carrying a reusable one.
Beauty,Lipstick,6,4,4,Opt for refillable lipstick cases to reduce waste.
Toys,Wooden Blocks,10,5,2,Eco-friendly alternative to plastic toys.
Kitchen,Steel Water Bottle,6,9,4,Refill instead of buying plastic bottles.
Kitchen,Steel Water Bottle,10,3,4,Refill instead of buying plastic bottles.
Sports,Recycled Yoga Mat,6,4,3,Made from sustainable materials.
Beauty,Lipstick,8,1,4,Opt for refillable lipstick cases to reduce waste.
Household,Bamboo Toothbrush,10,1,5,Switch to biodegradable toothbrushes.
Stationery,Notebook,10,6,5,Use recycled paper notebooks.
Toys,Wooden Blocks,10,9,2,Eco-friendly alternative to plastic toys.
Sports,Recycled Yoga Mat,8,5,4,Made from sustainable materials.
Clothing,Cotton Shirt,6,8,4,Wash with cold water to save energy.
Healthcare,Reusable Cotton Pads,7,9,5,Replace disposable wipes with reusable ones.
Household,Bamboo Toothbrush,6,6,3,Switch to biodegradable toothbrushes.
Healthcare,Reusable Cotton Pads,9,7,2,Replace disposable wipes with reusable ones.
Toys,Wooden Blocks,5,5,5,Eco-friendly alternative to plastic toys.
Gardening,Compost Bin,6,3,2,Convert kitchen waste into compost.
Gardening,Compost Bin,5,10,2,Convert kitchen waste into compost.
Healthcare,Reusable Cotton Pads,9,6,3,Replace disposable wipes with reusable ones.
Clothing,Handkerchief,9,6,1,Reuse and wash instead of using tissues.
Clothing,Handkerchief,10,4,5,Reuse and wash instead of using tissues.
Electronics,Laptop,7,1,4,Use energy-saving mode to reduce power consumption.
Gardening,Compost Bin,7,6,5,Convert kitchen waste into compost.
Electronics,LED Bulb,5,1,5,Switch to LED bulbs for lower energy usage.
Healthcare,Reusable Cotton Pads,10,8,3,Replace disposable wipes with reusable ones.
Stationery,Notebook,9,4,5,Use recycled paper notebooks.
Beauty,Lipstick,9,2,5,Opt for refillable lipstick cases to reduce waste.
Toys,Wooden Blocks,6,5,5,Eco-friendly alternative to plastic toys.
Furniture,Bamboo Chair,6,4,2,Sustainable alternative to plastic furniture.
Groceries,Reusable Bag,6,1,2,Avoid plastic bags by carrying a reusable one.
Groceries,Reusable Bag,5,8,4,Avoid plastic bags by carrying a reusable one.
Beauty,Lipstick,7,5,2,Opt for refillable lipstick cases to reduce waste.
Toys,Wooden Blocks,9,8,4,Eco-friendly alternative to plastic toys.
Clothing,Cotton Shirt,8,9,2,Wash with cold water to save energy.
Kitchen,Steel Water Bottle,9,2,3,Refill instead of buying plastic bottles.
Toys,Wooden Blocks,9,10,4,Eco-friendly alternative to plastic toys.
Beauty,Lipstick,5,6,3,Opt for refillable lipstick cases to reduce waste.
Automotive,Eco Car Wash Shampoo,6,4,1,Biodegradable car wash soap.
Household,Bamboo Toothbrush,6,8,5,Switch to biodegradable toothbrushes.
Stationery,Pen,6,10,1,Refillable pens reduce plastic waste.
Sports,Recycled Yoga Mat,6,8,3,Made from sustainable materials.
Stationery,Pen,6,8,4,Refillable pens reduce plastic waste.
Gardening,Compost Bin,5,10,1,Convert kitchen waste into compost.
Groceries,Reusable Bag,6,7,2,Avoid plastic bags by carrying a reusable one.
Groceries,Reusable Bag,10,1,1,Avoid plastic bags by carrying a reusable one.
Sports,Recycled Yoga Mat,7,9,4,Made from sustainable materials.
Stationery,Notebook,7,4,3,Use recycled paper notebooks.
Sports,Recycled Yoga Mat,6,9,3,Made from sustainable materials.
Beauty,Lipstick,7,3,3,Opt for refillable lipstick cases to reduce waste.
Gardening,Compost Bin,10,6,3,Convert kitchen waste into compost.
Automotive,Eco Car Wash Shampoo,8,9,3,Biodegradable car wash soap.
Beauty,Lipstick,9,2,5,Opt for refillable lipstick cases to reduce waste.
Clothing,Handkerchief,6,9,1,Reuse and wash instead of using tissues.
Gardening,Compost Bin,5,1,2,Convert kitchen waste into compost.
Gardening,Compost Bin,10,9,1,Convert kitchen waste into compost.
Household,Bamboo Toothbrush,9,3,3,Switch to biodegradable toothbrushes.
Beauty,Lipstick,6,10,2,Opt for refillable lipstick cases to reduce waste.
Sports,Recycled Yoga Mat,7,2,2,Made from sustainable materials.
Gardening,Compost Bin,10,1,4,Convert kitchen waste into compost.
Toys,Wooden Blocks,8,10,3,Eco-friendly alternative to plastic toys.
Furniture,Bamboo Chair,10,1,4,Sustainable alternative to plastic furniture.
Healthcare,Reusable Cotton Pads,8,10,4,Replace disposable wipes with reusable ones.
Household,Bamboo Toothbrush,5,9,5,Switch to biodegradable toothbrushes.
Toys,Wooden Blocks,7,1,4,Eco-friendly alternative to plastic toys.
Sports,Recycled Yoga Mat,7,8,4,Made from sustainable materials.
Clothing,Cotton Shirt,10,5,4,Wash with cold water to save energy.
Toys,Wooden Blocks,8,6,4,Eco-friendly alternative to plastic toys.
Beauty,Lipstick,6,4,2,Opt for refillable lipstick cases to reduce waste.
Clothing,Cotton Shirt,5,4,4,Wash with cold water to save energy.
Healthcare,Reusable Cotton Pads,8,10,2,Replace disposable wipes with reusable ones.
Groceries,Reusable Bag,9,3,3,Avoid plastic bags by carrying a reusable one.
Household,Bamboo Toothbrush,10,9,4,Switch to biodegradable toothbrushes.
Toys,Wooden Blocks,10,3,1,Eco-friendly alternative to plastic toys.
Household,Bamboo Toothbrush,7,4,3,Switch to biodegradable toothbrushes.
Sports,Recycled Yoga Mat,9,10,4,Made from sustainable materials.
Kitchen,Wooden Spoon,5,7,3,Use biodegradable wooden spoons instead of plastic.
Automotive,Eco Car Wash Shampoo,7,7,5,Biodegradable car wash soap.
Groceries,Reusable Bag,6,8,1,Avoid plastic bags by carrying a reusable one.
Toys,Wooden Blocks,9,9,3,Eco-friendly alternative to plastic toys.
Sports,Recycled Yoga Mat,7,9,2,Made from sustainable materials.
Gardening,Compost Bin,7,10,5,Convert kitchen waste into compost.
Automotive,Eco Car Wash Shampoo,7,2,5,Biodegradable car wash soap.
Automotive,Eco Car Wash Shampoo,10,2,1,Biodegradable car wash soap.
Automotive,Eco Car Wash Shampoo,10,4,5,Biodegradable car wash soap.
Beauty,Lipstick,5,3,2,Opt for refillable lipstick cases to reduce waste.
Toys,Wooden Blocks,6,3,1,Eco-friendly alternative to plastic toys.
Gardening,Compost Bin,10,3,1,Convert kitchen waste into compost.
Electronics,Laptop,9,7,4,Use energy-saving mode to reduce power consumption.
Electronics,Laptop,6,10,3,Use energy-saving mode to reduce power consumption.
Stationery,Notebook,8,5,3,Use recycled paper notebooks.
Sports,Recycled Yoga Mat,5,5,2,Made from sustainable materials.
Furniture,Bamboo Chair,6,4,1,Sustainable alternative to plastic furniture.
Healthcare,Reusable Cotton Pads,7,10,2,Replace disposable wipes with reusable ones.
Gardening,Compost Bin,6,9,4,Convert kitchen waste into compost.
Electronics,Laptop,10,7,3,Use energy-saving mode to reduce power consumption.
Kitchen,Wooden Spoon,9,5,1,Use biodegradable wooden spoons instead of plastic.
Sports,Recycled Yoga Mat,8,7,3,Made from sustainable materials.
Stationery,Notebook,6,9,2,Use recycled paper notebooks.
Toys,Wooden Blocks,6,5,2,Eco-friendly alternative to plastic toys.
Toys,Wooden Blocks,5,4,4,Eco-friendly alternative to plastic toys.
Automotive,Eco Car Wash Shampoo,8,4,3,Biodegradable car wash soap.
Household,Bamboo Toothbrush,7,2,3,Switch to biodegradable toothbrushes.
Beauty,Lipstick,10,5,2,Opt for refillable lipstick cases to reduce waste.
Healthcare,Reusable Cotton Pads,9,5,3,Replace disposable wipes with reusable ones.
Sports,Recycled Yoga Mat,7,3,1,Made from sustainable materials.
Healthcare,Reusable Cotton Pads,10,4,4,Replace disposable wipes with reusable ones.
Clothing,Handkerchief,10,7,3,Reuse and wash instead of using tissues.
Kitchen,Wooden Spoon,9,2,4,Use biodegradable wooden spoons instead of plastic.
Gardening,Compost Bin,9,3,4,Convert kitchen waste into compost.
Toys,Wooden Blocks,6,5,2,Eco-friendly alternative to plastic toys.
Toys,Wooden Blocks,6,9,3,Eco-friendly alternative to plastic toys.
Gardening,Compost Bin,10,5,4,Convert kitchen waste into compost.
Furniture,Bamboo Chair,6,8,5,Sustainable alternative to plastic furniture.
Beauty,Lipstick,5,5,5,Opt for refillable lipstick cases to reduce waste.
Healthcare,Reusable Cotton Pads,9,6,5,Replace disposable wipes with reusable ones.
Beauty,Lipstick,9,10,3,Opt for refillable lipstick cases to reduce waste.
Healthcare,Reusable Cotton Pads,8,8,2,Replace disposable wipes with reusable ones.
Healthcare,Reusable Cotton Pads,7,2,3,Replace disposable wipes with reusable ones.
Clothing,Handkerchief,7,3,2,Reuse and wash instead of using tissues.
Electronics,LED Bulb,7,4,2,Switch to LED bulbs for lower energy usage.
Stationery,Pen,5,8,1,Refillable pens reduce plastic waste.
Electronics,Laptop,5,8,3,Use energy-saving mode to reduce power consumption.
Stationery,Notebook,8,6,5,Use recycled paper notebooks.
Electronics,LED Bulb,9,5,2,Switch to LED bulbs for lower energy usage.
Household,Bamboo Toothbrush,8,3,1,Switch to biodegradable toothbrushes.
Kitchen,Wooden Spoon,6,8,4,Use biodegradable wooden spoons instead of plastic.
Household,Bamboo Toothbrush,9,1,3,Switch to biodegradable toothbrushes.
Electronics,LED Bulb,10,6,2,Switch to LED bulbs for lower energy usage.
Sports,Recycled Yoga Mat,8,5,2,Made from sustainable materials.
Stationery,Pen,6,9,5,Refillable pens reduce plastic waste.
Sports,Recycled Yoga Mat,10,10,4,Made from sustainable materials.
Clothing,Handkerchief,5,7,2,Reuse and wash instead of using tissues.
Household,Bamboo Toothbrush,10,4,1,Switch to biodegradable toothbrushes.
Healthcare,Reusable Cotton Pads,9,9,5,Replace disposable wipes with reusable ones.
Electronics,Laptop,9,9,5,Use energy-saving mode to reduce power consumption.
Furniture,Bamboo Chair,9,2,2,Sustainable alternative to plastic furniture.
Kitchen,Steel Water Bottle,8,1,2,Refill instead of buying plastic bottles.
Furniture,Bamboo Chair,8,5,4,Sustainable alternative to plastic furniture.
Healthcare,Reusable Cotton Pads,5,2,3,Replace disposable wipes with reusable ones.
Automotive,Eco Car Wash Shampoo,9,9,4,Biodegradable car wash soap.
Kitchen,Wooden Spoon,9,5,2,Use biodegradable wooden spoons instead of plastic.
Groceries,Reusable Bag,6,4,4,Avoid plastic bags by carrying a reusable one.
Sports,Recycled Yoga Mat,9,6,5,Made from sustainable materials.
Automotive,Eco Car Wash Shampoo,5,8,3,Biodegradable car wash soap.
Automotive,Eco Car Wash Shampoo,10,3,4,Biodegradable car wash soap.
Electronics,LED Bulb,10,6,2,Switch to LED bulbs for lower energy usage.
Stationery,Notebook,10,4,2,Use recycled paper notebooks.
Stationery,Notebook,8,7,5,Use recycled paper notebooks.
Automotive,Eco Car Wash Shampoo,8,2,3,Biodegradable car wash soap.
Groceries,Reusable Bag,5,7,5,Avoid plastic bags by carrying a reusable one.
Household,Bamboo Toothbrush,8,1,1,Switch to biodegradable toothbrushes.
Kitchen,Steel Water Bottle,9,6,3,Refill instead of buying plastic bottles.
Kitchen,Steel Water Bottle,9,1,2,Refill instead of buying plastic bottles.
Furniture,Bamboo Chair,5,2,5,Sustainable alternative to plastic furniture.
Sports,Recycled Yoga Mat,6,7,5,Made from sustainable materials.
Healthcare,Reusable Cotton Pads,6,4,1,Replace disposable wipes with reusable ones.
Clothing,Handkerchief,6,4,2,Reuse and wash instead of using tissues.
Household,Bamboo Toothbrush,9,3,2,Switch to biodegradable toothbrushes.
Clothing,Handkerchief,10,2,4,Reuse and wash instead of using tissues.
Automotive,Eco Car Wash Shampoo,6,2,1,Biodegradable car wash soap.
Automotive,Eco Car Wash Shampoo,5,2,5,Biodegradable car wash soap.
Stationery,Pen,7,7,1,Refillable pens reduce plastic waste.
Groceries,Reusable Bag,9,2,1,Avoid plastic bags by carrying a reusable one.
Stationery,Notebook,7,5,3,Use recycled paper notebooks.
Automotive,Eco Car Wash Shampoo,7,6,3,Biodegradable car wash soap.
Stationery,Notebook,9,10,5,Use recycled paper notebooks.
Beauty,Lipstick,5,1,5,Opt for refillable lipstick cases to reduce waste.
Automotive,Eco Car Wash Shampoo,10,4,5,Biodegradable car wash soap.
Beauty,Lipstick,6,5,1,Opt for refillable lipstick cases to reduce waste.
Groceries,Reusable Bag,9,1,1,Avoid plastic bags by carrying a reusable one.
Groceries,Reusable Bag,5,7,4,Avoid plastic bags by carrying a reusable one.
Beauty,Lipstick,7,1,2,Opt for refillable lipstick cases to reduce waste.
Automotive,Eco Car Wash Shampoo,10,2,5,Biodegradable car wash soap.
Household,Bamboo Toothbrush,6,1,4,Switch to biodegradable toothbrushes.
