product_name,category,material_score,carbon_footprint,packaging
Smartphone - Model 206,electronics,4,3.329787510880333,2
Smartphone - Model 407,electronics,2,8.375968685915481,3
Smartphone - Model 270,electronics,10,4.003725362339963,3
Smartphone - Model 276,electronics,7,4.043361072777527,4
Smartphone - Model 264,electronics,8,5.323050764565033,2
Smartphone - Model 193,electronics,9,2.315264568770577,4
Smartphone - Model 430,electronics,2,7.7899398130102915,2
Smartphone - Model 181,electronics,10,5.974167374842769,1
Smartphone - Model 169,electronics,6,3.252926715749414,1
Smartphone - Model 30,electronics,7,1.879698286406634,2
Smartphone - Model 128,electronics,3,8.97300316424968,1
Smartphone - Model 427,electronics,8,3.448376250018169,4
Smartphone - Model 366,electronics,5,2.788473133909079,2
Smartphone - Model 94,electronics,4,1.9869848899365397,4
Smartphone - Model 350,electronics,7,6.867394607915403,5
Smartphone - Model 463,electronics,1,7.896136018322612,1
Smartphone - Model 297,electronics,8,6.866381583288626,5
Smartphone - Model 217,electronics,10,2.9369359489002393,4
Smartphone - Model 278,electronics,9,8.639281774047724,3
Smartphone - Model 3,electronics,2,2.7545967750173443,3
Smartphone - Model 304,electronics,10,4.04436537313688,1
Smartphone - Model 462,electronics,5,9.09534933852786,3
Smartphone - Model 214,electronics,8,4.281726447771396,2
Smartphone - Model 469,electronics,4,7.964023788262965,3
Smartphone - Model 354,electronics,10,3.2900865717143217,2
Smartphone - Model 75,electronics,5,9.874149912329727,5
Smartphone - Model 478,electronics,5,6.479039800171401,1
Smartphone - Model 397,electronics,1,1.544175466600907,1
Smartphone - Model 488,electronics,5,8.4077529319092,2
Smartphone - Model 399,electronics,9,4.231341364439969,1
Smartphone - Model 160,electronics,9,7.548717139963346,4
Smartphone - Model 437,electronics,1,5.775679800103943,1
Smartphone - Model 252,electronics,3,6.761332607316928,3
Smartphone - Model 109,electronics,9,7.2001614554141415,2
Smartphone - Model 167,electronics,8,6.103645279629457,4
Smartphone - Model 188,electronics,4,5.130150504757859,2
Smartphone - Model 41,electronics,2,6.407589941472288,1
Smartphone - Model 350,electronics,3,3.408141273738957,4
Smartphone - Model 412,electronics,4,8.295879918170542,2
Smartphone - Model 78,electronics,7,3.3430364217516377,4
Smartphone - Model 247,electronics,10,4.782661552589802,4
Smartphone - Model 302,electronics,2,4.036133354259832,3
Smartphone - Model 139,electronics,4,1.1170637220562638,2
Smartphone - Model 369,electronics,5,3.9230309085030393,3
Smartphone - Model 158,electronics,7,9.34933073262825,3
Smartphone - Model 97,electronics,3,3.3483220401071856,1
Smartphone - Model 21,electronics,4,7.046016950375897,1
Smartphone - Model 188,electronics,4,2.34384573785064,2
Smartphone - Model 154,electronics,1,9.519736908134915,4
Smartphone - Model 293,electronics,3,4.198428477920951,5
Laptop - Model 444,electronics,4,9.562344078000898,5
Laptop - Model 3,electronics,3,4.632326373311042,4
Laptop - Model 212,electronics,2,0.6387592493618761,1
Laptop - Model 135,electronics,8,5.686349626430738,1
Laptop - Model 308,electronics,5,1.5040411663439721,2
Laptop - Model 429,electronics,6,9.37799736849433,1
Laptop - Model 449,electronics,2,7.097601633211305,2
Laptop - Model 361,electronics,5,4.041511795788843,4
Laptop - Model 472,electronics,5,1.373812656625768,5
Laptop - Model 114,electronics,6,3.417832741759648,5
Laptop - Model 333,electronics,1,7.560282189554481,4
Laptop - Model 435,electronics,7,5.5774814951480804,1
Laptop - Model 129,electronics,2,1.1033133762732286,3
Laptop - Model 134,electronics,3,4.070001189375278,4
Laptop - Model 394,electronics,5,6.821811913364191,1
Laptop - Model 268,electronics,1,4.83648382739667,1
Laptop - Model 487,electronics,2,7.791467016494454,1
Laptop - Model 164,electronics,6,7.370401594516224,5
Laptop - Model 420,electronics,10,3.07780573690144,2
Laptop - Model 326,electronics,6,2.017178060806287,1
Laptop - Model 220,electronics,4,6.5204521215225615,2
Laptop - Model 16,electronics,8,5.473247776807152,2
Laptop - Model 414,electronics,9,7.90334587028371,4
Laptop - Model 247,electronics,6,1.262572447458822,3
Laptop - Model 135,electronics,10,4.395897265389883,3
Laptop - Model 207,electronics,9,2.4978190142944037,5
Laptop - Model 381,electronics,3,1.0340635394006394,4
Laptop - Model 73,electronics,5,7.179129718113032,5
Laptop - Model 289,electronics,9,2.862239801281537,2
Laptop - Model 195,electronics,10,5.8175011540015635,1
Laptop - Model 161,electronics,9,8.93069854381476,3
Laptop - Model 73,electronics,9,1.7419929835650896,2
Laptop - Model 183,electronics,8,6.103684064978678,2
Laptop - Model 99,electronics,2,1.0527172121948163,3
Laptop - Model 368,electronics,4,4.372847636127648,4
Laptop - Model 275,electronics,5,3.6681944277183685,2
Laptop - Model 93,electronics,7,5.937190676445289,2
Laptop - Model 167,electronics,1,9.99692004467284,5
Laptop - Model 373,electronics,6,5.713138267412393,4
Laptop - Model 488,electronics,3,5.796346031324146,5
Laptop - Model 409,electronics,7,6.217172337865332,5
Laptop - Model 406,electronics,6,8.643776055100401,5
Laptop - Model 494,electronics,10,8.170817158529648,1
Laptop - Model 316,electronics,4,9.532039203828903,2
Laptop - Model 400,electronics,6,2.8005368210537176,1
Laptop - Model 495,electronics,5,7.480702331444334,1
Laptop - Model 237,electronics,7,6.290396164914948,4
Laptop - Model 330,electronics,1,8.756510293684027,3
Laptop - Model 15,electronics,7,7.187260414566942,3
Laptop - Model 485,electronics,1,1.020485617993286,3
Laptop - Model 331,electronics,6,7.394749347795753,3
Laptop - Model 213,electronics,6,2.129966621110457,3
Laptop - Model 271,electronics,3,4.067481230430041,1
Laptop - Model 365,electronics,4,8.188752864721643,3
Laptop - Model 302,electronics,3,9.418438166891756,1
Laptop - Model 489,electronics,1,1.5450415377249134,5
Laptop - Model 172,electronics,6,4.004146317737476,5
Laptop - Model 365,electronics,9,7.2811981449120395,4
Laptop - Model 177,electronics,8,6.126961982894641,1
Laptop - Model 154,electronics,6,9.314700540383903,5
Laptop - Model 125,electronics,10,8.520811031893599,3
Laptop - Model 75,electronics,1,8.934255137682168,4
Laptop - Model 159,electronics,6,3.357758495532095,1
Laptop - Model 291,electronics,9,0.766119177691956,3
Laptop - Model 439,electronics,6,3.6935087059227336,5
Laptop - Model 426,electronics,5,5.156581183935246,5
Laptop - Model 276,electronics,7,1.0491715043303502,1
Laptop - Model 101,electronics,1,7.4332924940240455,2
Laptop - Model 198,electronics,1,4.886838524276318,3
Laptop - Model 105,electronics,7,3.1656303755722863,2
Laptop - Model 246,electronics,4,5.814892422469935,3
Laptop - Model 379,electronics,4,6.789903008096854,1
Laptop - Model 153,electronics,5,6.217685793977979,2
Laptop - Model 5,electronics,7,8.893369759693115,2
Laptop - Model 52,electronics,5,9.54570322819287,5
Laptop - Model 70,electronics,8,6.36613464867182,5
Laptop - Model 200,electronics,10,5.153440618302073,1
Laptop - Model 182,electronics,10,3.5599600954889503,3
Laptop - Model 79,electronics,3,8.167681235593836,3
Laptop - Model 475,electronics,1,4.814293686952828,5
Laptop - Model 371,electronics,8,7.123552945001769,5
Laptop - Model 215,electronics,9,2.3103611498024366,4
Laptop - Model 361,electronics,6,5.541255336978262,5
Laptop - Model 433,electronics,7,7.923446356000139,3
Laptop - Model 21,electronics,10,4.13390627033876,2
Laptop - Model 51,electronics,4,2.630614199631577,3
Laptop - Model 75,electronics,1,5.3748906833037084,5
Laptop - Model 406,electronics,5,4.215480927531937,5
Laptop - Model 123,electronics,1,7.641751007095162,5
Laptop - Model 392,electronics,9,1.539101881069858,3
Laptop - Model 39,electronics,4,7.963225007549788,2
Laptop - Model 214,electronics,10,7.2224725302035315,2
Laptop - Model 496,electronics,8,7.23726015190659,4
Laptop - Model 412,electronics,1,8.559251729575399,1
Laptop - Model 399,electronics,8,8.44777993131035,2
Laptop - Model 98,electronics,6,0.822069872027068,2
Laptop - Model 380,electronics,1,5.99515204260132,2
Laptop - Model 262,electronics,8,2.878503543566956,3
Laptop - Model 80,electronics,5,7.448340065565796,4
Laptop - Model 273,electronics,1,4.7679108444264875,4
Tablet - Model 86,electronics,6,4.146434923181393,2
Tablet - Model 51,electronics,1,8.131622442699962,5
Tablet - Model 67,electronics,1,1.2657147908505395,4
Tablet - Model 167,electronics,9,4.149628571631457,4
Tablet - Model 352,electronics,6,4.207205578458792,3
Tablet - Model 387,electronics,9,1.3729103437029826,3
Tablet - Model 368,electronics,9,8.302341184756816,1
Tablet - Model 426,electronics,9,7.381795407285034,4
Tablet - Model 362,electronics,1,3.4327887542020266,4
Tablet - Model 266,electronics,7,8.345700948320722,1
Tablet - Model 204,electronics,3,1.9863427915097256,2
Tablet - Model 338,electronics,6,7.51402887717862,3
Tablet - Model 56,electronics,4,6.672095080286478,2
Tablet - Model 189,electronics,4,3.6567991048965918,4
Tablet - Model 450,electronics,6,5.859000566245705,3
Tablet - Model 384,electronics,9,4.070856084461855,2
Tablet - Model 125,electronics,1,2.876330162291862,4
Tablet - Model 315,electronics,1,2.696207986555899,5
Tablet - Model 354,electronics,8,9.970863980892336,1
Tablet - Model 472,electronics,5,4.9608915769659525,5
Tablet - Model 145,electronics,4,2.6177960644821794,5
Tablet - Model 259,electronics,1,9.939994402945903,5
Tablet - Model 7,electronics,10,6.975997646227345,1
Tablet - Model 317,electronics,4,8.702018581063406,4
Tablet - Model 303,electronics,5,2.3401262070995825,1
Tablet - Model 317,electronics,1,2.2182476924262393,5
Tablet - Model 323,electronics,7,3.7690196604718404,2
Tablet - Model 42,electronics,10,1.8244381134936218,1
Tablet - Model 228,electronics,9,7.66099409056363,1
Tablet - Model 458,electronics,5,1.5053245373818924,1
Tablet - Model 103,electronics,2,7.004834437693558,4
Tablet - Model 94,electronics,5,4.80638886829637,1
Tablet - Model 357,electronics,9,6.480065401810431,2
Tablet - Model 337,electronics,2,2.5194385029796464,1
Tablet - Model 475,electronics,1,6.404374227000897,4
Tablet - Model 281,electronics,8,5.593096768309529,4
Tablet - Model 130,electronics,9,1.9055932980143,5
Tablet - Model 308,electronics,3,5.475522916257778,2
Tablet - Model 160,electronics,2,3.2302397360335116,2
Tablet - Model 254,electronics,2,3.6996813195147515,1
Tablet - Model 353,electronics,6,6.442057572743533,3
Tablet - Model 118,electronics,3,4.0066758461465675,5
Tablet - Model 218,electronics,10,9.987354245506237,5
Tablet - Model 145,electronics,2,6.943796045856664,5
Tablet - Model 244,electronics,8,5.683770620168833,3
Tablet - Model 343,electronics,3,4.466386801696535,2
Tablet - Model 165,electronics,4,3.2186064416665268,5
Tablet - Model 437,electronics,6,4.206900758850944,4
Tablet - Model 463,electronics,6,7.435308000558823,5
Tablet - Model 357,electronics,9,4.528948316411607,2
Tablet - Model 176,electronics,8,8.853294550663913,3
Tablet - Model 98,electronics,1,3.034968572720573,2
Tablet - Model 340,electronics,4,1.2678064803995044,3
Tablet - Model 328,electronics,7,4.799298302583416,5
Tablet - Model 98,electronics,8,4.187973246399406,4
Tablet - Model 141,electronics,10,2.852118991085472,5
Tablet - Model 463,electronics,8,6.608172845871145,2
Tablet - Model 389,electronics,6,8.405736405859559,4
Tablet - Model 145,electronics,10,0.7977523930111057,5
Tablet - Model 62,electronics,10,6.737121786570966,4
Tablet - Model 228,electronics,1,3.7455641379713827,4
Tablet - Model 434,electronics,6,2.4730279287394255,4
Tablet - Model 438,electronics,7,8.894457369682726,2
Tablet - Model 195,electronics,4,2.629488717696345,1
Tablet - Model 446,electronics,6,3.142920385495535,1
Tablet - Model 390,electronics,1,7.076939080617751,1
Tablet - Model 171,electronics,3,3.054592144183434,5
Tablet - Model 218,electronics,2,4.607700283056756,4
Tablet - Model 52,electronics,4,8.185600392275038,3
Tablet - Model 340,electronics,1,9.124788487388553,3
Tablet - Model 243,electronics,10,0.7009387456554251,2
Tablet - Model 411,electronics,4,6.24909835020182,5
Tablet - Model 158,electronics,1,2.703270449943723,3
Tablet - Model 188,electronics,8,0.8382955918056649,2
Tablet - Model 152,electronics,3,9.572054768418612,2
Tablet - Model 2,electronics,6,7.837839404890778,4
Tablet - Model 119,electronics,4,9.715098823190996,3
Tablet - Model 453,electronics,7,5.0634745022501955,1
Tablet - Model 279,electronics,3,5.395105637703067,2
Tablet - Model 286,electronics,8,4.184222739579706,1
Tablet - Model 308,electronics,7,4.029848773643748,3
Tablet - Model 256,electronics,3,2.379173766725352,4
Tablet - Model 499,electronics,4,4.868500679656933,5
Tablet - Model 281,electronics,9,3.1772904988622908,3
Tablet - Model 199,electronics,3,8.356965890762408,2
Tablet - Model 178,electronics,7,9.416949558050531,2
Tablet - Model 297,electronics,6,4.412020949981724,3
Tablet - Model 163,electronics,1,3.9340593265043604,4
Tablet - Model 220,electronics,4,7.07380827547328,1
Tablet - Model 231,electronics,5,1.1907932759433109,4
Tablet - Model 346,electronics,5,3.686751744842523,4
Tablet - Model 175,electronics,4,5.09009327251426,5
Tablet - Model 362,electronics,10,4.977237693080909,4
Tablet - Model 34,electronics,6,3.1930038576807456,3
Tablet - Model 302,electronics,9,9.963724025081227,1
Tablet - Model 358,electronics,4,4.266619605308635,1
Tablet - Model 16,electronics,3,1.9279181752007635,1
Tablet - Model 361,electronics,2,9.663139731898328,2
Tablet - Model 272,electronics,2,0.6217329072848534,2
Tablet - Model 400,electronics,8,1.9071301476124236,1
Smartwatch - Model 15,electronics,8,9.082111384620097,4
Smartwatch - Model 175,electronics,1,7.578485817245539,5
Smartwatch - Model 110,electronics,8,9.678985489665232,1
Smartwatch - Model 327,electronics,5,1.7351308833680439,1
Smartwatch - Model 358,electronics,6,6.328565639770131,5
Smartwatch - Model 81,electronics,1,8.881167523069132,3
Smartwatch - Model 205,electronics,7,5.890955475619358,3
Smartwatch - Model 393,electronics,4,7.013361206922497,1
Smartwatch - Model 386,electronics,8,6.181309813887241,4
Smartwatch - Model 329,electronics,10,0.7378758350149939,2
Smartwatch - Model 485,electronics,10,1.2333200613755515,2
Smartwatch - Model 451,electronics,10,9.316971608518294,4
Smartwatch - Model 348,electronics,8,9.270656905199061,2
Smartwatch - Model 73,electronics,5,9.826763406184808,3
Smartwatch - Model 84,electronics,3,3.3272109572621056,1
Smartwatch - Model 290,electronics,7,7.331221482618572,1
Smartwatch - Model 151,electronics,6,5.418177248330681,4
Smartwatch - Model 20,electronics,5,7.362140349088089,3
Smartwatch - Model 367,electronics,8,5.63013139603329,2
Smartwatch - Model 374,electronics,5,9.679840899106818,1
Smartwatch - Model 484,electronics,8,2.8745485456952227,2
Smartwatch - Model 393,electronics,4,7.596420343708509,2
Smartwatch - Model 319,electronics,7,5.388542245595473,3
Smartwatch - Model 230,electronics,1,1.8006200821587888,4
Smartwatch - Model 336,electronics,10,8.0520602264207,2
Smartwatch - Model 404,electronics,4,5.2758902426855725,4
Smartwatch - Model 490,electronics,3,4.512202898229628,1
Smartwatch - Model 371,electronics,5,9.169413683305345,1
Smartwatch - Model 353,electronics,2,5.6188611347538835,4
Smartwatch - Model 134,electronics,5,9.836178591243854,2
Smartwatch - Model 159,electronics,1,8.812196977861408,3
Smartwatch - Model 183,electronics,6,9.852793113143997,5
Smartwatch - Model 178,electronics,7,6.832951035009844,3
Smartwatch - Model 332,electronics,1,2.532579853125899,3
Smartwatch - Model 149,electronics,1,2.521418780410207,3
Smartwatch - Model 100,electronics,2,5.124863926082701,4
Smartwatch - Model 240,electronics,1,8.764054617733107,4
Smartwatch - Model 388,electronics,2,0.8597431996729821,2
Smartwatch - Model 448,electronics,2,9.615144857453956,3
Smartwatch - Model 395,electronics,7,4.527260184611548,4
Smartwatch - Model 205,electronics,2,2.283920274365114,3
Smartwatch - Model 453,electronics,10,6.250907089232067,5
Smartwatch - Model 395,electronics,6,6.555467686700503,5
Smartwatch - Model 337,electronics,3,6.1344903637562105,4
Smartwatch - Model 421,electronics,7,4.313811178891038,2
Smartwatch - Model 382,electronics,10,1.343129016958541,5
Smartwatch - Model 126,electronics,6,6.147714066143182,3
Smartwatch - Model 484,electronics,7,8.502091368218121,4
Smartwatch - Model 417,electronics,8,7.046671531692787,5
Smartwatch - Model 83,electronics,3,4.274727213580038,5
Smartwatch - Model 161,electronics,6,4.1810785418589305,5
Smartwatch - Model 405,electronics,4,3.097483215735026,3
Smartwatch - Model 449,electronics,8,4.6721275578126935,5
Smartwatch - Model 362,electronics,8,9.75574081405014,1
Smartwatch - Model 369,electronics,9,4.690320926526637,2
Smartwatch - Model 341,electronics,5,8.88024967643652,2
Smartwatch - Model 288,electronics,9,7.5900606438661615,2
Smartwatch - Model 48,electronics,8,2.319974194932424,2
Smartwatch - Model 134,electronics,3,8.095387592083345,3
Smartwatch - Model 93,electronics,5,8.847086130635645,1
Smartwatch - Model 290,electronics,9,7.8851993757189165,1
Smartwatch - Model 349,electronics,1,9.64849806143429,2
Smartwatch - Model 497,electronics,9,9.28574388585051,2
Smartwatch - Model 453,electronics,10,6.276440328806721,2
Smartwatch - Model 27,electronics,4,1.5752107547137082,2
Smartwatch - Model 71,electronics,9,2.1690425846837167,5
Smartwatch - Model 25,electronics,6,2.6905011735581317,3
Smartwatch - Model 402,electronics,7,5.054008619950007,2
Smartwatch - Model 344,electronics,10,8.022522333826107,1
Smartwatch - Model 168,electronics,8,1.1944546113517096,1
Smartwatch - Model 402,electronics,8,7.669537306958535,3
Smartwatch - Model 22,electronics,1,3.159291278719746,3
Smartwatch - Model 24,electronics,2,9.71035836113466,5
Smartwatch - Model 461,electronics,7,4.2174811169175435,1
Smartwatch - Model 98,electronics,6,4.304018679641686,5
Smartwatch - Model 291,electronics,5,3.1430063976233704,2
Smartwatch - Model 4,electronics,4,6.452650337585485,1
Smartwatch - Model 129,electronics,1,6.39083572826299,3
Smartwatch - Model 127,electronics,10,2.47356958654255,5
Smartwatch - Model 243,electronics,5,0.7755196028711264,2
Smartwatch - Model 110,electronics,1,1.4592433338749113,2
Smartwatch - Model 333,electronics,4,3.6759193854590912,4
Smartwatch - Model 260,electronics,8,9.024989188791215,4
Smartwatch - Model 132,electronics,3,3.8393109346976795,1
Smartwatch - Model 294,electronics,7,3.078377569108602,3
Smartwatch - Model 18,electronics,10,7.24991708141886,2
Smartwatch - Model 267,electronics,9,8.345441224878837,4
Smartwatch - Model 286,electronics,9,2.048521194122624,4
Smartwatch - Model 209,electronics,5,3.9977801084091746,3
Smartwatch - Model 10,electronics,5,8.32889950347999,4
Smartwatch - Model 197,electronics,5,4.3132574654302624,1
Smartwatch - Model 489,electronics,3,3.2115157846098517,2
Smartwatch - Model 112,electronics,10,7.694621496201396,5
Smartwatch - Model 81,electronics,3,8.216702328526795,2
Smartwatch - Model 492,electronics,3,9.642311613010971,4
Smartwatch - Model 87,electronics,9,8.258770515233067,4
Smartwatch - Model 400,electronics,6,8.774083871059764,1
Smartwatch - Model 445,electronics,9,3.4088319504402707,2
Smartwatch - Model 186,electronics,1,4.316997306847751,5
Smartwatch - Model 71,electronics,6,6.20622574091716,4
Wireless Earbuds - Model 75,electronics,10,1.6941043245327223,1
Wireless Earbuds - Model 305,electronics,1,3.4680970427635205,5
Wireless Earbuds - Model 57,electronics,7,3.101816839387463,1
Wireless Earbuds - Model 461,electronics,9,7.948654792857316,5
Wireless Earbuds - Model 155,electronics,10,6.56357000362623,2
Wireless Earbuds - Model 37,electronics,7,5.962046347049771,5
Wireless Earbuds - Model 470,electronics,5,5.145699852353269,1
Wireless Earbuds - Model 328,electronics,2,3.373163141473622,3
Wireless Earbuds - Model 430,electronics,5,4.0717017091978045,1
Wireless Earbuds - Model 349,electronics,5,5.465537484608189,2
Wireless Earbuds - Model 1,electronics,8,5.492556851036407,4
Wireless Earbuds - Model 41,electronics,9,7.096768760097517,3
Wireless Earbuds - Model 211,electronics,2,4.246229913035392,4
Wireless Earbuds - Model 32,electronics,8,0.7571646977473554,5
Wireless Earbuds - Model 459,electronics,7,3.5372708606464336,2
Wireless Earbuds - Model 140,electronics,10,3.6664188747371567,2
Wireless Earbuds - Model 85,electronics,6,8.108442111123516,5
Wireless Earbuds - Model 475,electronics,2,1.015142450874895,1
Wireless Earbuds - Model 149,electronics,6,9.798670141793345,5
Wireless Earbuds - Model 39,electronics,10,8.850627432268013,3
Wireless Earbuds - Model 85,electronics,9,1.0053951317939354,3
Wireless Earbuds - Model 123,electronics,6,5.283000229606916,1
Wireless Earbuds - Model 483,electronics,9,1.9058640029455947,4
Wireless Earbuds - Model 405,electronics,6,5.166009536993418,4
Wireless Earbuds - Model 229,electronics,7,1.3553242377106975,4
Wireless Earbuds - Model 490,electronics,8,8.921765629954386,3
Wireless Earbuds - Model 72,electronics,7,2.478209890015478,1
Wireless Earbuds - Model 219,electronics,5,4.146391102480793,3
Wireless Earbuds - Model 270,electronics,4,8.286047058542925,5
Wireless Earbuds - Model 142,electronics,5,6.22744386087036,5
Wireless Earbuds - Model 317,electronics,6,6.027949532912165,3
Wireless Earbuds - Model 146,electronics,5,5.899768995174355,2
Wireless Earbuds - Model 427,electronics,5,3.015290956038451,5
Wireless Earbuds - Model 121,electronics,1,2.460933896841612,2
Wireless Earbuds - Model 370,electronics,6,4.771106548429472,3
Wireless Earbuds - Model 473,electronics,1,6.16104460313439,1
Wireless Earbuds - Model 129,electronics,3,3.7013770335263896,4
Wireless Earbuds - Model 115,electronics,1,4.548225656537244,5
Wireless Earbuds - Model 227,electronics,6,6.661430741636925,3
Wireless Earbuds - Model 195,electronics,9,0.9369076593841226,1
Wireless Earbuds - Model 111,electronics,2,4.296933853952957,2
Wireless Earbuds - Model 62,electronics,8,1.9983257441394764,4
Wireless Earbuds - Model 337,electronics,5,3.145064281251609,1
Wireless Earbuds - Model 199,electronics,8,3.3779020128861106,4
Wireless Earbuds - Model 95,electronics,5,4.552845647312177,3
Wireless Earbuds - Model 348,electronics,6,3.78066299177412,2
Wireless Earbuds - Model 451,electronics,8,1.7479307168039835,1
Wireless Earbuds - Model 147,electronics,2,3.65966626139219,5
Wireless Earbuds - Model 417,electronics,10,0.8595296107209771,5
Wireless Earbuds - Model 182,electronics,8,2.922446543380337,2
Wireless Earbuds - Model 39,electronics,8,8.50318353254037,4
Wireless Earbuds - Model 153,electronics,6,2.2607270430965087,2
Wireless Earbuds - Model 109,electronics,10,3.564189361053018,5
Wireless Earbuds - Model 25,electronics,2,2.7511897695969223,5
Wireless Earbuds - Model 347,electronics,7,2.617610007880562,5
Wireless Earbuds - Model 247,electronics,6,4.928411482595951,1
Wireless Earbuds - Model 484,electronics,3,2.8206659549586313,5
Wireless Earbuds - Model 389,electronics,3,9.683297986755646,3
Wireless Earbuds - Model 290,electronics,1,6.807366819599611,4
Wireless Earbuds - Model 388,electronics,1,1.2253683382615943,5
Wireless Earbuds - Model 436,electronics,6,3.6884170872235664,5
Wireless Earbuds - Model 219,electronics,6,4.819541926036118,3
Wireless Earbuds - Model 188,electronics,10,9.212966637609734,5
Wireless Earbuds - Model 98,electronics,8,4.114306524660195,3
Wireless Earbuds - Model 461,electronics,5,9.771041371903316,2
Wireless Earbuds - Model 232,electronics,1,1.6318149851077557,3
Wireless Earbuds - Model 69,electronics,7,4.349610357272116,5
Wireless Earbuds - Model 25,electronics,4,0.7925529626160693,3
Wireless Earbuds - Model 49,electronics,3,8.187187876292112,2
Wireless Earbuds - Model 144,electronics,10,5.527095201774325,5
Wireless Earbuds - Model 301,electronics,7,1.2350662637958978,2
Wireless Earbuds - Model 116,electronics,10,3.7609516079113825,5
Wireless Earbuds - Model 253,electronics,8,2.1363220093271074,5
Wireless Earbuds - Model 224,electronics,7,3.6789924870083723,2
Wireless Earbuds - Model 162,electronics,10,3.086192124698692,1
Wireless Earbuds - Model 196,electronics,5,5.259266811743713,1
Wireless Earbuds - Model 483,electronics,6,4.616950082924457,2
Wireless Earbuds - Model 357,electronics,7,5.261694597631387,3
Wireless Earbuds - Model 105,electronics,1,5.288505638816709,5
Wireless Earbuds - Model 81,electronics,3,1.3320250819042978,5
Wireless Earbuds - Model 318,electronics,3,5.120250520031901,5
Wireless Earbuds - Model 143,electronics,10,7.8612480635812325,3
Wireless Earbuds - Model 444,electronics,1,4.371409556041766,1
Wireless Earbuds - Model 142,electronics,4,2.363945623433567,2
Wireless Earbuds - Model 431,electronics,10,3.872752932771471,1
Wireless Earbuds - Model 82,electronics,7,7.797993230958798,4
Wireless Earbuds - Model 224,electronics,5,2.0586043659149,3
Wireless Earbuds - Model 199,electronics,9,5.579394472606905,5
Wireless Earbuds - Model 80,electronics,10,3.0520774548774243,5
Wireless Earbuds - Model 71,electronics,6,9.948951444845303,2
Wireless Earbuds - Model 338,electronics,1,9.365234604019792,1
Wireless Earbuds - Model 114,electronics,1,3.616749833465618,5
Wireless Earbuds - Model 286,electronics,6,1.0586829681339431,5
Wireless Earbuds - Model 283,electronics,7,7.695727837030365,3
Wireless Earbuds - Model 444,electronics,10,3.496383726958086,1
Wireless Earbuds - Model 162,electronics,3,8.647414703691929,3
Wireless Earbuds - Model 391,electronics,1,2.341141044019249,4
Wireless Earbuds - Model 372,electronics,6,6.478157055032663,2
Wireless Earbuds - Model 425,electronics,10,3.211197260617771,1
Wireless Earbuds - Model 378,electronics,6,6.5148079193634505,2
